Target	Pathway
ABL(T315I)	ABL
ADCK4	MISC
AKT	AKT
ALK	RTK
AMPK-alpha1	MISC
ATM	MISC
AURK	CC
BCL2	DAM
BMX	MISC
BTK	RTK
Bcr-Abl	ABL
CAMK	DNA
CDK	CC
CHK	CC
CK1	WNT
CLK2	DNA
CSF1R	RTK
CSNK1E	DNA
DDR1	RTK
DNA-PK	DNA
DYRK1A	MISC
EGFR	ErbB
EPHB	RTK
ERK	MAPK
ErbB2	ErbB
FAK	MISC
FGFR	RTK
FLT	MISC
GSK3	AKT
HSP90	MISC
IGF1R	RTK
IKK-beta	CYK
IRAK1	CYK
ITK	MISC
JAK	CYK
JNK	MAPK
KDR	RTK
LCK	KIN
LOK	MISC
LRRK2	MISC
LTK	RTK
MARK4	MAPK
MAST1	CC
MDM2	DNA
MEK	MAPK
MNK	MAPK
Met	RTK
NTRK1	RTK
PARP	DNA
PDGFR	RTK
PDK1	MISC
PI3K	AKT
PIKFYVE	MISC
PKC	PKC
PLK	CC
KDR	KIN
RAF	MAPK
RET	RTK
RIPK1	DAM
ROCK2	MISC
RSK2	MAPK
SRC	KIN
STK39	MAPK
SYK	KIN
TAO1	MISC
TBK1	NFK
TIE	MISC
TPL2	KIN
TUBB1	CC
ULK1	MISC
VEGFR	RTK
Wee1	CC
c-Abl	ABL
c-Kit	RTK
mTOR	AKT
p38	MAPK
p53	DNA
