HMSL10001-101	(R)-Roscovitine
HMSL10001-101	CYC202
HMSL10001-101	Seliciclib
HMSL10002-101	ALW-II-38-3
HMSL10003-101	ALW-II-49-7
HMSL10004-101	AT-7519
HMSL10004-102	AT-7519 hydrochloride
HMSL10005-101	AV-951
HMSL10005-101	Tivozanib
HMSL10006-101	AZD7762
HMSL10007-101	AZD8055
HMSL10008-101	BAY-439006
HMSL10008-101	Sorafenib
HMSL10009-101	CP466722
HMSL10010-101	CP724714
HMSL10011-101	Alvocidib
HMSL10011-101	Flavopiridol
HMSL10011-101	HMR-1275
HMSL10011-101	L868275
HMSL10012-101	GSK429286A
HMSL10013-101	GSK461364
HMSL10014-101	GW843682
HMSL10015-101	HG-5-113-01
HMSL10016-101	HG-5-88-01
HMSL10017-101	HG-6-64-01
HMSL10017-101	KIN001-206
HMSL10018-101	HKI-272
HMSL10018-101	Neratinib
HMSL10019-101	JW-7-24-1
HMSL10020-101	BMS-354825
HMSL10020-101	Dasatinib
HMSL10020-101	Sprycel
HMSL10021-101	MK-0457
HMSL10021-101	Tozasertib
HMSL10021-101	VX680
HMSL10022-101	GNF2
HMSL10023-103	CGP-57148B
HMSL10023-103	Gleevec
HMSL10023-103	Glivec
HMSL10023-103	Imatinib
HMSL10023-103	STI-571
HMSL10024-101	NVP-TAE684
HMSL10025-101	CGP60474
HMSL10025-101	MLS000911536
HMSL10025-101	SMR000463552
HMSL10026-101	PD173074
HMSL10027-101	Crizotinib
HMSL10027-101	PF02341066
HMSL10028-102	BMS345541
HMSL10029-101	GW-5074
HMSL10030-101	KIN001-042
HMSL10031-101	KIN001-043
HMSL10032-101	AZD0530
HMSL10032-101	Saracatinib
HMSL10033-101	KIN001-055
HMSL10034-101	AS601245
HMSL10034-101	JNK Inhibitor V
HMSL10035-101	AKT inhibitor VIII
HMSL10035-101	Akt1/2 kinase inhibitor
HMSL10035-101	KIN001-102
HMSL10035-101	Sigma A6730
HMSL10035-109	AKT inhibitor VIII
HMSL10035-109	Akt1/2 kinase inhibitor
HMSL10035-109	KIN001-102
HMSL10035-109	Sigma A6730
HMSL10036-101	SB 239063
HMSL10037-101	AC220
HMSL10038-101	WH-4-023
HMSL10039-101	WH-4-025
HMSL10040-101	R406
HMSL10041-101	BI-2536
HMSL10041-101	NPK33-1-98-1
HMSL10042-101	AMG706
HMSL10042-101	Motesanib
HMSL10043-101	KIN001-127
HMSL10044-104	FMK
HMSL10044-104	KIN001-242
HMSL10045-101	A443654
HMSL10046-101	SB590885
HMSL10047-101	GDC-0941
HMSL10048-101	CI-1040
HMSL10048-101	PD184352
HMSL10049-101	PLX-4720
HMSL10050-101	AZ-628
HMSL10051-104	GW-572016
HMSL10051-104	Lapatinib
HMSL10051-104	Tykerb
HMSL10052-101	Rapamycin
HMSL10052-101	Sirolimus
HMSL10053-101	ZSTK474
HMSL10054-101	AS605240
HMSL10055-101	BX-912
HMSL10056-101	AZD6244
HMSL10056-101	Array142886
HMSL10056-101	Selumetinib
HMSL10057-102	MK2206
HMSL10058-101	CG-930
HMSL10058-101	JNK930
HMSL10059-101	AZD-6482
HMSL10059-101	KIN001-193
HMSL10060-101	TAK-715
