drug_id	gene_family	description	reference
HMSL10001			
HMSL10002			
HMSL10003			
HMSL10004			
HMSL10005			
HMSL10006			
HMSL10007			
HMSL10008	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10008	CD	CD molecules	hgnc
HMSL10009			
HMSL10010			
HMSL10011			
HMSL10012			
HMSL10013			
HMSL10014			
HMSL10015			
HMSL10016			
HMSL10017			
HMSL10018	CD	CD molecules	hgnc
HMSL10019			
HMSL10020	SH2D	SH2 domain containing	hgnc
HMSL10020	FN3	Fibronectin type III domain containing	hgnc
HMSL10020	EPH	EPH receptors	hgnc
HMSL10020	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10020	SAMD	Sterile alpha motif (SAM) domain containing	hgnc
HMSL10020	CD	CD molecules	hgnc
HMSL10021	SH2D	SH2 domain containing	hgnc
HMSL10021	PPP1R	Serine/threonine phosphatases / Protein phosphatase 1, regulatory subunits	hgnc
HMSL10021	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10021	CD	CD molecules	hgnc
HMSL10022			
HMSL10023	SH2D	SH2 domain containing	hgnc
HMSL10023	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10023	CD	CD molecules	hgnc
HMSL10024			
HMSL10025			
HMSL10026			
HMSL10027	CD	CD molecules	hgnc
HMSL10028			
HMSL10029			
HMSL10030			
HMSL10031			
HMSL10032	SH2D	SH2 domain containing	hgnc
HMSL10033			
HMSL10034			
HMSL10035			
HMSL10036			
HMSL10037			
HMSL10038			
HMSL10039			
HMSL10040			
HMSL10041			
HMSL10042	CDHR	Cadherins / Cadherin-related	hgnc
HMSL10042	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10042	CD	CD molecules	hgnc
HMSL10043			
HMSL10044			
HMSL10045			
HMSL10046			
HMSL10047			
HMSL10048			
HMSL10049			
HMSL10050			
HMSL10051	CD	CD molecules	hgnc
HMSL10052			
HMSL10053			
HMSL10054			
HMSL10055			
HMSL10056			
HMSL10057			
HMSL10058			
HMSL10059			
HMSL10060			
HMSL10061			
HMSL10062			
HMSL10063			
HMSL10064			
HMSL10065			
HMSL10066			
HMSL10067			
HMSL10068			
HMSL10069			
HMSL10070			
HMSL10071			
HMSL10072			
HMSL10073			
HMSL10074			
HMSL10075			
HMSL10076			
HMSL10077			
HMSL10078			
HMSL10079			
HMSL10080			
HMSL10081			
HMSL10082			
HMSL10083			
HMSL10084			
HMSL10085			
HMSL10086			
HMSL10087			
HMSL10088			
HMSL10089			
HMSL10090			
HMSL10091			
HMSL10092			
HMSL10093			
HMSL10094			
HMSL10095			
HMSL10096			
HMSL10097			
HMSL10098			
HMSL10099	SH2D	SH2 domain containing	hgnc
HMSL10099	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10099	CD	CD molecules	hgnc
HMSL10100			
HMSL10101			
HMSL10102			
HMSL10103			
HMSL10104			
HMSL10105			
HMSL10106			
HMSL10107			
HMSL10108			
HMSL10109			
HMSL10110			
HMSL10111			
HMSL10112			
HMSL10113			
HMSL10114	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10114	CD	CD molecules	hgnc
HMSL10115			
HMSL10116			
HMSL10117			
HMSL10118	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10118	CD	CD molecules	hgnc
HMSL10119			
HMSL10120	CD	CD molecules	hgnc
HMSL10121			
HMSL10122			
HMSL10123			
HMSL10124			
HMSL10125			
HMSL10126			
HMSL10127	CD	CD molecules	hgnc
HMSL10127	ISET	Immunoglobulin superfamily / I-set domain containing	hgnc
HMSL10128			
HMSL10129			
HMSL10130	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10130	CD	CD molecules	hgnc
HMSL10131			
HMSL10132			
HMSL10133	CD	CD molecules	hgnc
HMSL10134			
HMSL10136			
HMSL10137			
HMSL10138	SH2D	SH2 domain containing	hgnc
HMSL10139			
HMSL10140			
HMSL10141			
HMSL10142			
HMSL10143			
HMSL10144	PARP	Poly (ADP-ribose) polymerases	hgnc
HMSL10145	PARP	Poly (ADP-ribose) polymerases	hgnc
HMSL10146			
HMSL10147			
HMSL10148			
HMSL10149			
HMSL10150	SH2D	SH2 domain containing	hgnc
HMSL10151			
HMSL10152			
HMSL10153			
HMSL10154			
HMSL10155			
HMSL10156			
HMSL10157			
HMSL10158			
HMSL10159			
HMSL10160			
HMSL10161			
HMSL10162			
HMSL10163			
HMSL10164			
HMSL10165			
HMSL10166			
HMSL10167			
HMSL10168			
HMSL10169			
HMSL10170			
HMSL10171			
HMSL10172			
HMSL10173			
HMSL10174			
HMSL10175	CDHR	Cadherins / Cadherin-related	hgnc
HMSL10175	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10175	CD	CD molecules	hgnc
HMSL10176			
HMSL10177	CD	CD molecules	hgnc
HMSL10177	ISET	Immunoglobulin superfamily / I-set domain containing	hgnc
HMSL10178			
HMSL10179			
HMSL10180			
HMSL10181			
HMSL10182			
HMSL10183			
HMSL10184			
HMSL10185			
HMSL10186			
HMSL10187			
HMSL10188			
HMSL10189	SH2D	SH2 domain containing	hgnc
HMSL10190			
HMSL10191			
HMSL10192			
HMSL10193			
HMSL10194	CDHR	Cadherins / Cadherin-related	hgnc
HMSL10194	IGD	Immunoglobulin superfamily / Immunoglobulin-like domain containing	hgnc
HMSL10194	CD	CD molecules	hgnc
HMSL10195			
HMSL10196			
HMSL10197			
HMSL10198			
HMSL10199			
HMSL10200			
HMSL10201			
HMSL10203			
HMSL10204			
HMSL10205			
HMSL10206			
HMSL10207			
HMSL10208			
HMSL10209			
HMSL10210			
HMSL10211			
HMSL10212			
HMSL10213			
HMSL10214			
HMSL10215			
HMSL10216			
HMSL10217			
HMSL10218			
HMSL10219			
HMSL10220			
HMSL10221			
HMSL10222	CD	CD molecules	hgnc
HMSL10223			
HMSL10224			
HMSL10225	CD	CD molecules	hgnc
HMSL10225	ISET	Immunoglobulin superfamily / I-set domain containing	hgnc
