Small Mol HMS LINCS ID	SM Name	Alternative Names	LINCS ID	PubChem CID	Datarecord ID	HMS Dataset ID	Salt ID	ChEMBL ID	ChEBI ID	InChi	InChi Key	SMILES	Molecular Mass	Molecular Formula
HMSL10001-101	Seliciclib	CYC202;(R)-Roscovitine	LSM-1001	160355	1	10001	101	14762	None	InChI=1S/C19H26N6O/c1-4-15(11-26)22-19-23-17(20-10-14-8-6-5-7-9-14)16-18(24-19)25(12-21-16)13(2)3/h5-9,12-13,15,26H,4,10-11H2,1-3H3,(H2,20,22,23,24)/t15-/m1/s1	BTIHMVBBUGXLCJ-OAHLLOKOSA-N	CC(N1C=NC2=C1N=C(N[C@H](CC)CO)N=C2NCC3=CC=CC=C3)C	354.22	C19H26N6O
HMSL10002-101	ALW-II-38-3		LSM-1002	24880028	2	10002	101	None	None	InChI=1S/C23H18F3N5O3/c1-13-3-4-17(10-19(13)30-22(33)20-5-6-28-34-20)29-21(32)15-7-16(23(24,25)26)9-18(8-15)31-11-14(2)27-12-31/h3-12H,1-2H3,(H,29,32)(H,30,33)	IYUFHBXMTTXZBE-UHFFFAOYSA-N	CC(N=C1)=CN1C2=CC(C(NC3=CC=C(C)C(NC(C4=CC=NO4)=O)=C3)=O)=CC(C(F)(F)F)=C2	469.14	C23H18F3N5O3
HMSL10003-101	ALW-II-49-7		LSM-1003	24875320	3	10003	101	None	None	InChI=1S/C21H17F3N4O2/c1-12-5-6-13(8-18(12)27-17-7-14(19(25)29)10-26-11-17)20(30)28-16-4-2-3-15(9-16)21(22,23)24/h2-11,27H,1H3,(H2,25,29)(H,28,30)	SAAYRHKJHDIDPH-UHFFFAOYSA-N	O=C(NC1=CC=CC(C(F)(F)F)=C1)C2=CC=C(C)C(NC3=CN=CC(C(N)=O)=C3)=C2	414.13	C21H17F3N4O2
HMSL10004-101	AT-7519		LSM-1004	11338033	4	10004	101	445813	None	InChI=1S/C16H17Cl2N5O2/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24)	OVPNQJVDAFNBDN-UHFFFAOYSA-N	O=C(C1=NNC=C1NC(C2=C(Cl)C=CC=C2Cl)=O)NC3CCNCC3	381.08	C16H17Cl2N5O2
HMSL10004-102	AT-7519 hydrochloride		LSM-1004	None	5	10004	102	None	None	InChI=1S/C16H17Cl2N5O2.ClH/c17-10-2-1-3-11(18)13(10)15(24)22-12-8-20-23-14(12)16(25)21-9-4-6-19-7-5-9;/h1-3,8-9,19H,4-7H2,(H,20,23)(H,21,25)(H,22,24);1H	PAOFPNGYBWGKCO-UHFFFAOYSA-N	O=C(C1=NNC=C1NC(C2=C(Cl)C=CC=C2Cl)=O)NC3CCNCC3.Cl	417.05	C16H18Cl3N5O2
HMSL10005-101	AV-951	Tivozanib	LSM-1005	9911830	6	10005	101	None	None	InChI=1S/C22H19ClN4O5/c1-12-8-21(27-32-12)26-22(28)25-16-5-4-13(9-15(16)23)31-18-6-7-24-17-11-20(30-3)19(29-2)10-14(17)18/h4-11H,1-3H3,(H2,25,26,27,28)	SPMVMDHWKHCIDT-UHFFFAOYSA-N	ClC1=C(NC(NC4=NOC(C)=C4)=O)C=CC(OC2=CC=NC3=C2C=C(OC)C(OC)=C3)=C1	454.10	C22H19ClN4O5
HMSL10006-101	AZD7762		LSM-1006	None	7	10006	101	None	None	InChI=1S/C17H19FN4O2S/c18-11-4-1-3-10(7-11)14-8-13(22-17(19)24)15(25-14)16(23)21-12-5-2-6-20-9-12/h1,3-4,7-8,12,20H,2,5-6,9H2,(H,21,23)(H3,19,22,24)/t12-/m1/s1	IAYGCINLNONXHY-GFCCVEGCSA-N	NC(NC1=C(C(N[C@H]2CNCCC2)=O)SC(C3=CC(F)=CC=C3)=C1)=O	362.12	C17H19FN4O2S
HMSL10007-101	AZD8055		LSM-1007	25262965	8	10007	101	None	None	InChI=1S/C25H31N5O4/c1-16-14-33-10-8-29(16)24-20-5-6-21(18-4-7-22(32-3)19(12-18)13-31)26-23(20)27-25(28-24)30-9-11-34-15-17(30)2/h4-7,12,16-17,31H,8-11,13-15H2,1-3H3/t16-,17-/m0/s1	KVLFRAWTRWDEDF-IRXDYDNUSA-N	OCC1=C(OC)C=CC(C2=CC=C(C(N3[C@@H](C)COCC3)=NC(N4[C@@H](C)COCC4)=N5)C5=N2)=C1	465.24	C25H31N5O4
HMSL10008-101	BAY-439006	Sorafenib	LSM-1008	216239	9	10008	101	1336	None	InChI=1S/C21H16ClF3N4O3/c1-26-19(30)18-11-15(8-9-27-18)32-14-5-2-12(3-6-14)28-20(31)29-13-4-7-17(22)16(10-13)21(23,24)25/h2-11H,1H3,(H,26,30)(H2,28,29,31)	MLDQJTXFUGDVEO-UHFFFAOYSA-N	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F	464.09	C21H16ClF3N4O3
HMSL10009-101	CP466722		LSM-1009	44551660	10	10009	101	None	None	InChI=1S/C17H15N7O2/c1-25-13-7-10-12(8-14(13)26-2)20-9-21-16(10)24-17(18)22-15(23-24)11-5-3-4-6-19-11/h3-9H,1-2H3,(H2,18,22,23)	ILBRKJBKDGCSCB-UHFFFAOYSA-N	NC1=NC(C2=NC=CC=C2)=NN1C3=C4C=C(OC)C(OC)=CC4=NC=N3	349.13	C17H15N7O2
