drug_id	protein_id	protein_moniker	reference
HMSL10001			
HMSL10002			
HMSL10003			
HMSL10004			
HMSL10005	P17948	VGFR1_HUMAN	kegg
HMSL10005	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10005	P35968	VGFR2_HUMAN	kegg
HMSL10005	P35916	VGFR3_HUMAN	kegg
HMSL10006			
HMSL10007			
HMSL10008	P15056	BRAF_HUMAN	kegg
HMSL10008	P36888	FLT3_HUMAN	kegg
HMSL10008	P09619	PGFRB_HUMAN	kegg
HMSL10008	Q59F04	Q59F04_HUMAN	kegg
HMSL10008	P35968	VGFR2_HUMAN	kegg
HMSL10008	P35916	VGFR3_HUMAN	kegg
HMSL10008	P10721	KIT_HUMAN	kegg
HMSL10009			
HMSL10010			
HMSL10011			
HMSL10012			
HMSL10013			
HMSL10014			
HMSL10015			
HMSL10016			
HMSL10017			
HMSL10018	P00533	EGFR_HUMAN	kegg
HMSL10018	P04626	ERBB2_HUMAN	kegg
HMSL10019			
HMSL10020	P00519	ABL1_HUMAN	kegg
HMSL10020	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10020	P10721	KIT_HUMAN	kegg
HMSL10020	P12931	SRC_HUMAN	kegg
HMSL10020	P29317	EPHA2_HUMAN	kegg
HMSL10020	P09619	PGFRB_HUMAN	kegg
HMSL10020	Q59F04	Q59F04_HUMAN	kegg
HMSL10021	O14965	AURKA_HUMAN	kegg
HMSL10021	Q9UQB9	AURKC_HUMAN	kegg
HMSL10021	P00519	ABL1_HUMAN	kegg
HMSL10021	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10021	P36888	FLT3_HUMAN	kegg
HMSL10021	O60674	JAK2_HUMAN	kegg
HMSL10022			
HMSL10023	P00519	ABL1_HUMAN	kegg
HMSL10023	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10023	P16234	PGFRA_HUMAN	kegg
HMSL10023	P09619	PGFRB_HUMAN	kegg
HMSL10023	Q59F04	Q59F04_HUMAN	kegg
HMSL10023	P10721	KIT_HUMAN	kegg
HMSL10024			
HMSL10025			
HMSL10026			
HMSL10027	Q9UM73	ALK_HUMAN	kegg
HMSL10027	B6D4Y2	B6D4Y2_HUMAN	kegg
HMSL10028			
HMSL10029			
HMSL10030			
HMSL10031			
HMSL10032	P00519	ABL1_HUMAN	kegg
HMSL10032	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10032	P12931	SRC_HUMAN	kegg
HMSL10033			
HMSL10034			
HMSL10035			
HMSL10036			
HMSL10037			
HMSL10038			
HMSL10039			
HMSL10040			
HMSL10041			
HMSL10042	P16234	PGFRA_HUMAN	kegg
HMSL10042	P09619	PGFRB_HUMAN	kegg
HMSL10042	Q59F04	Q59F04_HUMAN	kegg
HMSL10042	P07949	RET_HUMAN	kegg
HMSL10042	Q9BTX6	Q9BTX6_HUMAN	kegg
HMSL10042	P17948	VGFR1_HUMAN	kegg
HMSL10042	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10042	P35968	VGFR2_HUMAN	kegg
HMSL10042	P35916	VGFR3_HUMAN	kegg
HMSL10042	P10721	KIT_HUMAN	kegg
HMSL10043			
HMSL10044			
HMSL10045			
HMSL10046			
HMSL10047			
HMSL10048			
HMSL10049			
HMSL10050			
HMSL10051	P00533	EGFR_HUMAN	kegg
HMSL10051	P04626	ERBB2_HUMAN	kegg
HMSL10052	P42345	MTOR_HUMAN	kegg
HMSL10053			
HMSL10054			
HMSL10055			
HMSL10056	Q02750	MP2K1_HUMAN	kegg
HMSL10056	A4QPA9	A4QPA9_HUMAN	kegg
HMSL10056	P36507	MP2K2_HUMAN	kegg
HMSL10057			
HMSL10058			
HMSL10059			
HMSL10060			
HMSL10061			
HMSL10062			
HMSL10063			
HMSL10064			
HMSL10065			
HMSL10066			
HMSL10067			
HMSL10068			
HMSL10069	P05771	KPCB_HUMAN	kegg
HMSL10070			
HMSL10071			
HMSL10072			
HMSL10073			
HMSL10074			
HMSL10075			
HMSL10076			
HMSL10077			
HMSL10078			
HMSL10079			
HMSL10080			
HMSL10081			
HMSL10082			
HMSL10083			
HMSL10084			
HMSL10085			
HMSL10086			
HMSL10087			
HMSL10088			
HMSL10089			
HMSL10090			
HMSL10091			
HMSL10092			
HMSL10093			
HMSL10094			
HMSL10095			
HMSL10096			
HMSL10097	P00533	EGFR_HUMAN	kegg
HMSL10098	P00533	EGFR_HUMAN	kegg
HMSL10099	P00519	ABL1_HUMAN	kegg
HMSL10099	Q59FK4	Q59FK4_HUMAN	kegg
HMSL10099	P16234	PGFRA_HUMAN	kegg
HMSL10099	P09619	PGFRB_HUMAN	kegg
HMSL10099	Q59F04	Q59F04_HUMAN	kegg
HMSL10099	P10721	KIT_HUMAN	kegg
HMSL10100			
HMSL10101			
HMSL10102	Q13509	TBB3_HUMAN	kegg
HMSL10102	A8K854	A8K854_HUMAN	kegg
HMSL10102	Q53G92	Q53G92_HUMAN	kegg
HMSL10102	Q9BUF5	TBB6_HUMAN	kegg
HMSL10103			
HMSL10104			
HMSL10105			
HMSL10106			
HMSL10107			
HMSL10108			
HMSL10109			
HMSL10110			
HMSL10111			
HMSL10112			
HMSL10113			
HMSL10114	P16234	PGFRA_HUMAN	kegg
HMSL10114	P09619	PGFRB_HUMAN	kegg
HMSL10114	Q59F04	Q59F04_HUMAN	kegg
HMSL10114	P17948	VGFR1_HUMAN	kegg
HMSL10114	L7RSL3	L7RSL3_HUMAN	kegg
HMSL10114	P35968	VGFR2_HUMAN	kegg
HMSL10114	P35916	VGFR3_HUMAN	kegg
HMSL10114	P10721	KIT_HUMAN	kegg
HMSL10115			
HMSL10116			
HMSL10117			
HMSL10118	P10721	KIT_HUMAN	kegg
HMSL10118	P30530	UFO_HUMAN	kegg
HMSL10119			
HMSL10120	P00533	EGFR_HUMAN	kegg
HMSL10120	P04626	ERBB2_HUMAN	kegg
HMSL10120	P21860	ERBB3_HUMAN	kegg
HMSL10120	Q15303	ERBB4_HUMAN	kegg
HMSL10121			
HMSL10122			
HMSL10123			
HMSL10124			
HMSL10125			
HMSL10126			
HMSL10127	P17948	VGFR1_HUMAN	kegg
