HGNC ID	Approved Symbol	Approved Name	Previous Symbols	Synonyms	Name Synonyms	Accession Numbers	Gene Family Tag	UniProt ID(supplied by UniProt)
HGNC:100	ASIC1	acid-sensing (proton-gated) ion channel 1	ACCN2	BNaC2, hBNaC2		U78181	ASIC	P78348
HGNC:1000	BCL5	B-cell CLL/lymphoma 5						
HGNC:10000	RGS4	regulator of G-protein signaling 4	SCZD9			BC051869	RGS	P49798
HGNC:10001	RGS5	regulator of G-protein signaling 5				AF030108	RGS	O15539
HGNC:10002	RGS6	regulator of G-protein signaling 6				AF073920	RGS	P49758
HGNC:10003	RGS7	regulator of G-protein signaling 7				BC022009	RGS	P49802
HGNC:10004	RGS9	regulator of G-protein signaling 9		PERRS, RGS9L, MGC26458, MGC111763	"regulator of G protein signalling 9", "regulator of G protein signalling 9L", "regulator of G-protein signaling 9L"	AF071476	RGS	O75916
HGNC:10006	RHAG	Rh-associated glycoprotein		RH50A, CD241, SLC42A1			CD, bloodgroup, SLC	Q02094
HGNC:10007	RHBDL1	rhomboid, veinlet-like 1 (Drosophila)	RHBDL	RRP		Y17108		O75783
HGNC:10008	RHCE	Rh blood group, CcEe antigens	RH	CD240CE		BC075081	CD, bloodgroup	P18577
HGNC:10009	RHD	Rh blood group, D antigen	RH	Rh30a, Rh4, RhPI, RhII, DIIIc, CD240D		AB012623	CD, bloodgroup	Q02161
HGNC:1001	BCL6	B-cell CLL/lymphoma 6	ZNF51	ZBTB27, LAZ3, BCL5, BCL6A			ZBTB, ZNF, BTBD	P41182
HGNC:10010	RHEBP1	Ras-homolog enriched in brain pseudogene 1	RHEB1	RHEB				
HGNC:10011	RHEB	Ras homolog enriched in brain	RHEB2			D78132		Q15382
HGNC:10012	RHO	rhodopsin	RP4	OPN2	"opsin 2, rod pigment"	AB065668	OPN	P08100
HGNC:10013	GRK1	G protein-coupled receptor kinase 1	RHOK	GPRK1, RK				Q15835
HGNC:10015	RIEG2	Rieger syndrome 2		ARS				
HGNC:10017	RIT2	Ras-like without CAAX 2	RIN	RIBA		BC018060		Q99578
HGNC:10018	RING1	ring finger protein 1		RNF1			RNF	Q06587
HGNC:10019	RIPK1	receptor (TNFRSF)-interacting serine-threonine kinase 1		RIP		U25994		Q13546
HGNC:1002	BCL6B	B-cell CLL/lymphoma 6, member B	ZNF62	ZBTB28, BAZF		AI672318	ZBTB, ZNF, BTBD	Q8N143
HGNC:10020	RIPK2	receptor-interacting serine-threonine kinase 2		RICK, RIP2, CARDIAK, CARD3		AC004003		O43353
HGNC:10021	RIPK3	receptor-interacting serine-threonine kinase 3		RIP3		AF156884		Q9Y572
HGNC:10023	RIT1	Ras-like without CAAX 1	RIT	RIBB, ROC1, MGC125864, MGC125865	"Ric-like, expressed in many tissues", "GTP-binding protein Roc1"	AF084462		Q92963
HGNC:10024	RLBP1	retinaldehyde binding protein 1		CRALBP		BC004199		P12271
HGNC:10025	RLF	rearranged L-myc fusion		ZNF292L, Zn-15L			ZNF	Q13129
HGNC:10026	RLN1	relaxin 1		H1	"prorelaxin H1"		ENDOLIG	P04808
HGNC:10027	RLN2	relaxin 2		H2, RLXH2, bA12D24.1.1, bA12D24.1.2	"relaxin H2", "prorelaxin H2", "relaxin, ovarian, of pregnancy"		ENDOLIG	P04090
HGNC:10030	RMD1	rippling muscle disease 1						
HGNC:10031	RMRP	RNA component of mitochondrial RNA processing endoribonuclease	CHH	RMRPR, RRP2, NME1		M29916	MISCRNA	
HGNC:10034	RN5S1@	RNA, 5S ribosomal 1q42 cluster	RN5S					
HGNC:10037	RN7SK	RNA, 7SK small nuclear		7SK		X05490, X04236	snRNA	
HGNC:10038	RN7SL1	RNA, 7SL, cytoplasmic 1	RN7SL	7SL, 7L1a, RNSRP1		X04248	scRNA	
HGNC:10039	RN7SL4P	RNA, 7SL, cytoplasmic 4, pseudogene	RN7SLP1, RN7SL427P	7L28		X04250	scRNA	
HGNC:1004	BCL7A	B-cell CLL/lymphoma 7A	BCL7			X89984		Q4VC05
HGNC:10040	RN7SL5P	RNA, 7SL, cytoplasmic 5, pseudogene	RN7SLP2, RN7SL249P	7LEM1		X04252	scRNA	
HGNC:10041	RN7SL6P	RNA, 7SL, cytoplasmic 6, pseudogene	RN7SLP3, RN7SL848P	7L7		X04253	scRNA	
HGNC:10042	RN7SL7P	RNA, 7SL, cytoplasmic 7, pseudogene	RN7SLP4, RN7SL27P	7L23		X04254	scRNA	
HGNC:10043	RN7SL8P	RNA, 7SL, cytoplasmic 8, pseudogene	RN7SLP5, RN7SL433P	7L63		X04255	scRNA	
HGNC:10044	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	RNS1			BC005324	RNASE	P07998
HGNC:10045	RNASE2	ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	RNS2	EDN		X55988	RNASE	P10153
HGNC:10046	RNASE3	ribonuclease, RNase A family, 3	RNS3	ECP	"eosinophil cationic protein"	X55990	RNASE	P12724
HGNC:10047	RNASE4	ribonuclease, RNase A family, 4				U36775	RNASE	P34096
HGNC:10048	RNASE6	ribonuclease, RNase A family, k6	RNS6		"RNase k6"	U64998	RNASE	Q93091
HGNC:10049	RNASEH1P1	ribonuclease H1 pseudogene 1	RNASEH1	RNH1		AF048994		
HGNC:1005	BCL7B	B-cell CLL/lymphoma 7B				X89985		Q9BQE9
HGNC:10050	RNASEL	ribonuclease L (2',5'-oligoisoadenylate synthetase-dependent)	RNS4, PRCA1			L10381	ANKRD	Q05823
HGNC:10055	RNF10	ring finger protein 10		KIAA0262, RIE2		AB027196	RNF	Q8N5U6
HGNC:10056	RNF11	ring finger protein 11		CGI-123, Sid1669p, MGC51169		AB024703	RNF	Q9Y3C5
HGNC:10057	RNF13	ring finger protein 13		RZF		AF037204	RNF	O43567
HGNC:10058	RNF14	ring finger protein 14		ARA54, HFB30, TRIAD2		AF060544	RNF	Q9UBS8
HGNC:10059	TRIM38	tripartite motif containing 38	RNF15	RORET		U90547	TRIM, RNF	O00635
HGNC:1006	BCL7C	B-cell CLL/lymphoma 7C				AJ223980		Q8WUZ0
HGNC:10060	RNF17	ring finger protein 17	TDRD4	Mmip-2, SPATA23, FLJ11045	"spermatogenesis associated 23"	AF285602, AK001907	RNF, TDRD	Q9BXT8
HGNC:10061	RNF2	ring finger protein 2		BAP-1, BAP1, DING, HIPI3, RING1B, RING2		BC012583, Y10571	RNF	Q99496
HGNC:10062	RNF20	ring finger protein 20, E3 ubiquitin protein ligase		FLJ20382, FLJ11189, KAIA2779, BRE1A, hBRE1, BRE1	"BRE1 E3 ubiquitin ligase homolog (S. cerevisiae)"	AF265230	RNF	Q5VTR2
HGNC:10063	TRIM34	tripartite motif containing 34	RNF21			AB039902	TRIM, RNF	Q9BYJ4
HGNC:10064	TRIM3	tripartite motif containing 3	RNF22	HAC1, BERP, RNF97	"ring finger protein 22", "brain expressed ring finger", "tripartite motif protein TRIM3"	AF045239	TRIM, RNF	O75382
HGNC:10065	TRIM39	tripartite motif containing 39	RNF23			BC034985	TRIM, RNF	Q9HCM9
HGNC:10066	PCGF3	polycomb group ring finger 3	RNF3	FLJ36550, DONG1, RNF3A, MGC40413		AK093869	RNF, PCGF	Q3KNV8
HGNC:10067	RNF4	ring finger protein 4		RES4-26, SNURF, SLX5		U95140	RNF	P78317
HGNC:10068	RNF5	ring finger protein 5, E3 ubiquitin protein ligase		NG2, G16, RING5, RMA1		U89336	RNF	Q99942
HGNC:10069	RNF6	ring finger protein (C3H2C3 type) 6		DKFZp686P0776	"RING-H2 protein RNF-6"	AJ010346	RNF	Q9Y252
HGNC:1007	NBEAP1	neurobeachin pseudogene 1	BCL8	BCL8A				P0C6P0
HGNC:10070	RNF7	ring finger protein 7		SAG, ROC2, CKBBP1	"sensitive to apoptosis, zinc RING finger protein SAG, regulator of cullins 2"	AF092878	RNF	Q9UBF6
HGNC:10071	RNF8	ring finger protein 8, E3 ubiquitin protein ligase		KIAA0646		AB012770	RNF	O76064
HGNC:10072	TRIM10	tripartite motif containing 10	RNF9	RFB30, HERF1		Y07829	TRIM, RNF	Q9UDY6
HGNC:10073	RNGTT	RNA guanylyltransferase and 5'-phosphatase		HCE, HCE1, hCAP		AF025654	DUSPA	O60942
HGNC:10074	RNH1	ribonuclease/angiogenin inhibitor 1	RNH	RAI				P13489
HGNC:10075	RNMT	RNA (guanine-7-) methyltransferase		RG7MT1		AF067791		O43148
HGNC:10078	RNPEP	arginyl aminopeptidase (aminopeptidase B)				BC001064		Q9H4A4
HGNC:10079	RNPEPL1	arginyl aminopeptidase (aminopeptidase B)-like 1						Q9HAU8
HGNC:1008	BCL9	B-cell CLL/lymphoma 9				Y13620		O00512
HGNC:10080	RNPS1	RNA binding protein S1, serine-rich domain				AF015608	RBM	Q15287
HGNC:10082	RNR1	RNA, ribosomal cluster 1						
HGNC:10083	RNR2	RNA, ribosomal cluster 2				AF305858		
HGNC:10084	RNR3	RNA, ribosomal cluster 3						
HGNC:10085	RNR4	RNA, ribosomal cluster 4						
HGNC:10086	RNR5	RNA, ribosomal cluster 5				U13369		
HGNC:10096	SNORD80	small nucleolar RNA, C/D box 80	RNU100	Z15, U80		AJ224022, AF141346	SNORD	
HGNC:10097	SNORD4A	small nucleolar RNA, C/D box 4A	RNU101A	Z17A, mgh18S-121		AJ224024	SNORD	
HGNC:10098	SNORD4B	small nucleolar RNA, C/D box 4B	RNU101B	Z17B		AJ224025	SNORD	
HGNC:10099	SNORD102	small nucleolar RNA, C/D box 102	RNU102	U102		AY349603	SNORD	
HGNC:101	ASIC3	acid-sensing (proton-gated) ion channel 3	ACCN3	TNaC1, DRASIC	"testis sodium channel 1"	AB010575	ASIC	Q9UHC3
HGNC:10100	SNORD79	small nucleolar RNA, C/D box 79	RNU103	Z22, U79		AJ224027, AF141346	SNORD	
HGNC:10101	SNORD81	small nucleolar RNA, C/D box 81	RNU104	Z23, U81		AJ224028, AF141346	SNORD	
HGNC:10102	RNU105A	RNA, U105A small nucleolar		E1c		U12211		
